time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,958,76,5518,687
2023-12-05 00:00:00+00:00,639,66,4458,714
2023-12-06 00:00:00+00:00,391,58,4702,719
2023-12-07 00:00:00+00:00,440,55,5050,673
2023-12-08 00:00:00+00:00,182,35,4076,602
2023-12-09 00:00:00+00:00,60,19,1221,185
2023-12-10 00:00:00+00:00,58,26,862,168
2023-12-11 00:00:00+00:00,384,52,4575,647
2023-12-12 00:00:00+00:00,216,32,5139,640
2023-12-13 00:00:00+00:00,374,46,4910,637
2023-12-14 00:00:00+00:00,543,59,4561,637
2023-12-15 00:00:00+00:00,392,43,3780,524
2023-12-16 00:00:00+00:00,46,15,1074,153
2023-12-17 00:00:00+00:00,126,30,1237,191
2023-12-18 00:00:00+00:00,273,37,3455,550
2023-12-19 00:00:00+00:00,1052,83,4224,560
2023-12-20 00:00:00+00:00,305,35,3916,546
2023-12-21 00:00:00+00:00,116,17,3615,487
2023-12-22 00:00:00+00:00,99,15,2329,353
2023-12-23 00:00:00+00:00,46,8,960,140
2023-12-24 00:00:00+00:00,34,15,618,118
2023-12-25 00:00:00+00:00,84,13,787,152
2023-12-26 00:00:00+00:00,60,8,1781,316
2023-12-27 00:00:00+00:00,236,31,2809,368
2023-12-28 00:00:00+00:00,69,11,2127,330
2023-12-29 00:00:00+00:00,179,15,2038,296
2023-12-30 00:00:00+00:00,37,10,879,128
2023-12-31 00:00:00+00:00,30,13,1139,107
2024-01-01 00:00:00+00:00,90,27,949,149
2024-01-02 00:00:00+00:00,518,36,3128,417
2024-01-03 00:00:00+00:00,531,34,4623,539
2024-01-04 00:00:00+00:00,508,53,4371,640
2024-01-05 00:00:00+00:00,71,11,4242,549
2024-01-06 00:00:00+00:00,26,7,1164,170
2024-01-07 00:00:00+00:00,50,16,1332,181
2024-01-08 00:00:00+00:00,314,37,4227,662
2024-01-09 00:00:00+00:00,211,28,3695,626
2024-01-10 00:00:00+00:00,211,26,4102,651
2024-01-11 00:00:00+00:00,377,40,4741,630
2024-01-12 00:00:00+00:00,171,29,4291,583
2024-01-13 00:00:00+00:00,26,6,1476,159
2024-01-14 00:00:00+00:00,38,18,862,176
2024-01-15 00:00:00+00:00,213,29,2773,458
2024-01-16 00:00:00+00:00,572,41,4498,610
2024-01-17 00:00:00+00:00,646,60,5449,714
2024-01-18 00:00:00+00:00,384,43,5275,705
2024-01-19 00:00:00+00:00,579,46,4386,578
2024-01-20 00:00:00+00:00,25,8,1082,191
2024-01-21 00:00:00+00:00,34,15,1304,188
2024-01-22 00:00:00+00:00,270,33,4427,644
2024-01-23 00:00:00+00:00,266,31,5826,707
2024-01-24 00:00:00+00:00,417,40,5489,628
2024-01-25 00:00:00+00:00,317,39,5243,640
2024-01-26 00:00:00+00:00,616,50,3847,496
2024-01-27 00:00:00+00:00,24,6,752,155
2024-01-28 00:00:00+00:00,31,15,1211,174
2024-01-29 00:00:00+00:00,343,35,5490,690
2024-01-30 00:00:00+00:00,396,39,4983,640
2024-01-31 00:00:00+00:00,389,38,5695,697
2024-02-01 00:00:00+00:00,338,45,5339,694
2024-02-02 00:00:00+00:00,195,32,4514,665
2024-02-03 00:00:00+00:00,36,7,1436,208
2024-02-04 00:00:00+00:00,31,13,1775,213
2024-02-05 00:00:00+00:00,517,55,4406,669
2024-02-06 00:00:00+00:00,684,67,6432,731
2024-02-07 00:00:00+00:00,434,39,5853,710
2024-02-08 00:00:00+00:00,462,43,5756,617
2024-02-09 00:00:00+00:00,138,20,4696,562
2024-02-10 00:00:00+00:00,23,7,1150,167
2024-02-11 00:00:00+00:00,30,13,1081,180
2024-02-12 00:00:00+00:00,421,45,4849,684
2024-02-13 00:00:00+00:00,776,57,5073,672
2024-02-14 00:00:00+00:00,380,42,5230,652
2024-02-15 00:00:00+00:00,654,59,5604,705
2024-02-16 00:00:00+00:00,546,56,4613,637
2024-02-17 00:00:00+00:00,30,8,1030,164
2024-02-18 00:00:00+00:00,35,16,1183,169
2024-02-19 00:00:00+00:00,629,58,5087,613
2024-02-20 00:00:00+00:00,632,62,5330,727
2024-02-21 00:00:00+00:00,655,60,5526,688
2024-02-22 00:00:00+00:00,419,44,5702,715
2024-02-23 00:00:00+00:00,361,45,4053,579
2024-02-24 00:00:00+00:00,37,10,946,160
2024-02-25 00:00:00+00:00,30,14,1050,180
2024-02-26 00:00:00+00:00,774,58,5172,690
2024-02-27 00:00:00+00:00,289,48,5112,742
2024-02-28 00:00:00+00:00,373,57,6222,748
2024-02-29 00:00:00+00:00,413,64,5527,711
2024-03-01 00:00:00+00:00,419,58,4434,605
2024-03-02 00:00:00+00:00,28,10,1778,182
2024-03-03 00:00:00+00:00,34,16,878,181
2024-03-04 00:00:00+00:00,754,69,5597,725
2024-03-05 00:00:00+00:00,845,62,6134,755
2024-03-06 00:00:00+00:00,727,64,5181,717
2024-03-07 00:00:00+00:00,519,51,4973,693
2024-03-08 00:00:00+00:00,454,88,4788,609
2024-03-09 00:00:00+00:00,73,41,876,189
2024-03-10 00:00:00+00:00,90,51,889,165
2024-03-11 00:00:00+00:00,664,60,4658,640
2024-03-12 00:00:00+00:00,429,52,6258,738
2024-03-13 00:00:00+00:00,575,49,5404,637
2024-03-14 00:00:00+00:00,769,60,5603,732
2024-03-15 00:00:00+00:00,446,52,4676,644
2024-03-16 00:00:00+00:00,30,8,1316,161
2024-03-17 00:00:00+00:00,45,19,1375,172
2024-03-18 00:00:00+00:00,514,52,4762,700
2024-03-19 00:00:00+00:00,713,68,6108,760
2024-03-20 00:00:00+00:00,602,70,5586,701
2024-03-21 00:00:00+00:00,628,59,5608,691
2024-03-22 00:00:00+00:00,258,32,4617,587
2024-03-23 00:00:00+00:00,29,8,1067,168
2024-03-24 00:00:00+00:00,31,14,1173,157
2024-03-25 00:00:00+00:00,269,32,5559,626
2024-03-26 00:00:00+00:00,613,57,5410,679
2024-03-27 00:00:00+00:00,702,57,5696,655
2024-03-28 00:00:00+00:00,343,43,3981,605
2024-03-29 00:00:00+00:00,229,27,2828,403
2024-03-30 00:00:00+00:00,27,6,1065,166
2024-03-31 00:00:00+00:00,37,16,999,144
2024-04-01 00:00:00+00:00,339,47,3481,514
2024-04-02 00:00:00+00:00,494,54,4365,668
2024-04-03 00:00:00+00:00,1017,82,4985,760
2024-04-04 00:00:00+00:00,380,47,4750,688
2024-04-05 00:00:00+00:00,52,19,4279,581
2024-04-06 00:00:00+00:00,27,9,3075,179
2024-04-07 00:00:00+00:00,32,12,1588,174
2024-04-08 00:00:00+00:00,434,51,5143,644
2024-04-09 00:00:00+00:00,190,27,5181,644
2024-04-10 00:00:00+00:00,1324,88,5496,694
2024-04-11 00:00:00+00:00,445,50,4507,624
2024-04-12 00:00:00+00:00,421,44,3923,570
2024-04-13 00:00:00+00:00,35,11,1933,161
2024-04-14 00:00:00+00:00,28,11,1605,178
2024-04-15 00:00:00+00:00,669,54,5498,729
2024-04-16 00:00:00+00:00,400,52,5098,717
2024-04-17 00:00:00+00:00,372,52,4953,687
2024-04-18 00:00:00+00:00,285,40,5307,697
2024-04-19 00:00:00+00:00,297,41,4313,597
2024-04-20 00:00:00+00:00,68,14,1567,162
2024-04-21 00:00:00+00:00,91,20,1008,174
2024-04-22 00:00:00+00:00,388,43,5310,650
2024-04-23 00:00:00+00:00,403,50,4493,679
2024-04-24 00:00:00+00:00,511,54,4348,632
2024-04-25 00:00:00+00:00,489,48,4975,635
2024-04-26 00:00:00+00:00,310,35,3854,508
2024-04-27 00:00:00+00:00,21,6,1120,148
2024-04-28 00:00:00+00:00,29,13,2781,177
2024-04-29 00:00:00+00:00,124,19,1752,323
