time_iso8601,forks_cumulative
2019-09-05 00:00:00+00:00,297
2019-09-10 00:00:00+00:00,302
2019-09-11 00:00:00+00:00,304
2019-09-17 00:00:00+00:00,305
2019-09-18 00:00:00+00:00,307
2019-09-19 00:00:00+00:00,309
2019-09-23 00:00:00+00:00,310
2019-09-24 00:00:00+00:00,311
2019-09-25 00:00:00+00:00,314
2019-09-27 00:00:00+00:00,317
2019-09-29 00:00:00+00:00,318
2019-10-01 00:00:00+00:00,319
2019-10-02 00:00:00+00:00,322
2019-10-03 00:00:00+00:00,324
2019-10-04 00:00:00+00:00,325
2019-10-05 00:00:00+00:00,326
2019-10-07 00:00:00+00:00,327
2019-10-08 00:00:00+00:00,330
2019-10-09 00:00:00+00:00,334
2019-10-10 00:00:00+00:00,335
2019-10-11 00:00:00+00:00,337
2019-10-14 00:00:00+00:00,341
2019-10-15 00:00:00+00:00,347
2019-10-17 00:00:00+00:00,349
2019-10-21 00:00:00+00:00,350
2019-10-22 00:00:00+00:00,352
2019-10-23 00:00:00+00:00,355
2019-10-24 00:00:00+00:00,357
2019-10-25 00:00:00+00:00,359
2019-10-28 00:00:00+00:00,362
2019-10-29 00:00:00+00:00,364
2019-10-30 00:00:00+00:00,365
2019-10-31 00:00:00+00:00,366
2019-11-04 00:00:00+00:00,370
2019-11-05 00:00:00+00:00,373
2019-11-06 00:00:00+00:00,376
2019-11-07 00:00:00+00:00,378
2019-11-11 00:00:00+00:00,380
2019-11-12 00:00:00+00:00,381
2019-11-13 00:00:00+00:00,383
2019-11-15 00:00:00+00:00,385
2019-11-18 00:00:00+00:00,386
2019-11-19 00:00:00+00:00,390
2019-11-20 00:00:00+00:00,393
2019-11-25 00:00:00+00:00,394
2019-11-26 00:00:00+00:00,395
2019-11-27 00:00:00+00:00,396
2019-11-29 00:00:00+00:00,397
2019-12-01 00:00:00+00:00,398
2019-12-02 00:00:00+00:00,399
2019-12-03 00:00:00+00:00,403
2019-12-04 00:00:00+00:00,404
2019-12-06 00:00:00+00:00,407
2019-12-07 00:00:00+00:00,409
2019-12-09 00:00:00+00:00,410
2019-12-10 00:00:00+00:00,412
2019-12-12 00:00:00+00:00,413
2019-12-15 00:00:00+00:00,414
2019-12-16 00:00:00+00:00,416
2019-12-18 00:00:00+00:00,424
2019-12-20 00:00:00+00:00,425
2019-12-23 00:00:00+00:00,426
2019-12-24 00:00:00+00:00,428
2019-12-26 00:00:00+00:00,429
2019-12-30 00:00:00+00:00,430
2020-01-02 00:00:00+00:00,432
2020-01-03 00:00:00+00:00,434
2020-01-07 00:00:00+00:00,435
2020-01-08 00:00:00+00:00,438
2020-01-10 00:00:00+00:00,439
2020-01-12 00:00:00+00:00,440
2020-01-13 00:00:00+00:00,441
2020-01-14 00:00:00+00:00,443
2020-01-15 00:00:00+00:00,444
2020-01-16 00:00:00+00:00,446
2020-01-17 00:00:00+00:00,447
2020-01-20 00:00:00+00:00,448
